seq,t,dt,work,missed,,,
1210,14283552,5004,9,0,,,
1211,14288577,5025,8,0,,,
1212,14293549,4972,9,0,,,
1213,14298551,5002,9,0,,,
1214,14303550,4999,8,0,,,
1215,14308547,4997,9,0,,,
1216,14313552,5005,9,0,,,
1217,14318550,4998,8,0,,,
1218,14323565,5015,9,0,,,
1219,14328549,4984,8,0,,,
1220,14333551,5002,9,0,,,
1221,14338547,4996,8,0,,,
1222,14343549,5002,9,0,,,
1223,14348549,5000,9,0,,,
1224,14353549,5000,9,0,,,
1225,14358551,5002,9,0,,,
1226,14363554,5003,9,0,,,
1227,14368548,4994,9,0,,,
1228,14373546,4998,9,0,,,
1229,14378551,5005,9,0,,,
1230,14383549,4998,9,0,,,
1231,14388558,5009,9,0,,,
1232,14393554,4996,8,0,,,
1233,14398554,5000,9,0,,,
1234,14403555,5001,9,0,,,
1235,14408552,4997,9,0,,,
1236,14413553,5001,9,0,,,
1237,14418551,4998,9,0,,,
1238,14423552,5001,8,0,,,
1239,14428548,4996,9,0,,,
1240,14433554,5006,9,0,,,
1241,14438548,4994,8,0,,,
1242,14443546,4998,8,0,,,
1243,14448546,5000,9,0,,,
1244,14453553,5007,8,0,,,
1245,14458552,4999,9,0,,,
1246,14463551,4999,8,0,,,
1247,14468552,5001,9,0,,,
1248,14473553,5001,9,0,,,
1249,14478548,4995,9,0,,,
1250,14483546,4998,9,0,,,
1251,14488546,5000,9,0,,,
1252,14493548,5002,9,0,,,
1253,14498553,5005,9,0,,,
1254,14503548,4995,9,0,,,
